Id,Name,Country,Employees,Ownership,Revenue,Industry
12624,"Davila, Thompson and Mejia",Malaysia,3457,Private,,Healthcare
12625,Davis Inc,Hongkong,1369,Private,,Financials
12626,"Everett, Allen and Singh",Thailand,89,Private,703561,Education
12627,"Ali, Ramsey and Harris",Hongkong,4031,Public,72290095,Financials
12628,Walker Group,Hongkong,,Private,912766,Oil & Gas
12629,Snyder-Schultz,Malaysia,6794,Private,,Oil & Gas
12630,Jacobson-Mcdonald,Singapore,,Public,603570,Construction
12631,"Henry, Shaw and Mitchell",Malaysia,1973,Public,75643738,Oil & Gas
12632,"Anderson, Jackson and Davidson",Singapore,288,Private,564723,Construction
12633,Collins Group,Malaysia,7382,Public,47121612,Oil & Gas
12634,Kim-Harper,Hongkong,7920,Public,94109696,Healthcare
12635,Anderson Inc,Thailand,3477,Public,,Construction
12636,Wilson-Bush,Thailand,6184,Public,54163357,Information Technology
12637,Jackson Ltd,Malaysia,7738,Public,,Construction
12638,Donaldson Inc,Singapore,341,Private,977695,Financials
12639,Cross Inc,Thailand,,Public,626107,Education
12640,Myers-Cooper,Thailand,3448,Public,89707316,Education
12641,Martinez PLC,Malaysia,,Public,944213,Information Technology
12642,Cruz-Rogers,Thailand,7848,Private,,Financials
12643,"Bowers, Hill and Smith",Singapore,304,Private,899738,Construction
12644,Miller LLC,Thailand,7937,Public,46869395,Education
12645,Daniel-Johnson,Singapore,9851,Public,78056653,Healthcare
12646,Miles-Garcia,Malaysia,191,Private,799431,Information Technology
12647,Cooper-Phillips,Hongkong,4530,Public,,Information Technology
12648,Sawyer-Boyd,Thailand,3783,Public,59675305,Education
12649,"Smith, Jarvis and Klein",Singapore,74,Private,211377,Information Technology
12650,Evans-Lewis,Malaysia,7172,Private,,Information Technology
12651,Steele-Martin,Singapore,276,Private,351801,Oil & Gas
12652,"Rush, Williams and Mayer",Thailand,,Private,321143,Financials
12653,Johnson PLC,Thailand,8756,Public,50087770,Information Technology
12654,"Evans, Blevins and Howard",Singapore,5998,Private,,Information Technology
12655,Brown PLC,Thailand,157,Private,826359,Education
12656,Delgado-Sanchez,Thailand,4914,Private,,Oil & Gas
12657,Mitchell PLC,Malaysia,433,Public,,Oil & Gas
12658,Lucero-Benson,Thailand,,Private,490483,Financials
12659,Wilson-Johnson,Malaysia,3870,Public,,Construction
12660,Casey-Garza,Singapore,126,Public,,Education
12661,Parker Ltd,Thailand,1803,Public,,Financials
12662,Williams-Villegas,Malaysia,7037,Public,74050600,Information Technology
12663,Castro Inc,Thailand,3469,Public,76349837,Construction
12664,Vazquez PLC,Thailand,51,Private,566007,Information Technology
12665,Williamson-Parsons,Hongkong,4510,Public,30854542,Education
12666,"Robertson, Smith and Weiss",Malaysia,,Private,358045,Construction
12667,"Flores, Nelson and Burns",Hongkong,6912,Public,14413517,Construction
12668,Lewis LLC,Singapore,113,Private,508667,Education
12669,"Anthony, Howe and Wheeler",Thailand,9736,Public,96490165,Healthcare
12670,Gonzales-Davis,Malaysia,478,Private,587670,Education
12671,"Sanchez, Larsen and Snow",Hongkong,5687,Private,,Financials
12672,Harper-Wolfe,Hongkong,6808,Public,23406157,Healthcare
12673,Chung-Stephens,Thailand,3662,Public,,Healthcare
12674,Watkins Ltd,Malaysia,89,Private,449904,Education
12675,"Brown, Rogers and Rogers",Hongkong,4857,Public,92013090,Information Technology
12676,Turner Inc,Malaysia,463,Private,169453,Oil & Gas
12677,"Smith, Hernandez and Garcia",Thailand,4142,Public,80280545,Oil & Gas
12678,Bell LLC,Thailand,254,Private,776703,Financials
12679,"Walsh, Garcia and Miranda",Malaysia,148,Private,832699,Financials
12680,Hernandez-Jackson,Thailand,77,Private,884973,Education
12681,Grant Group,Thailand,2744,Public,16146828,Information Technology
12682,Carlson Ltd,Malaysia,2593,Public,80053060,Education
12683,Peterson-Adams,Hongkong,,Private,514673,Oil & Gas
12684,Rodriguez Ltd,Singapore,9753,Public,69547357,Healthcare
12685,Thomas Group,Singapore,75,Private,493104,Construction
12686,Ingram-Ryan,Singapore,3438,Public,80498609,Construction
12687,Wilson Inc,Hongkong,3194,Private,,Education
12688,"Thomas, Frazier and Mcdowell",Hongkong,,Private,550941,Financials
12689,Holt Group,Hongkong,,Public,100696,Healthcare
12690,Patterson-Evans,Singapore,6044,Public,,Information Technology
12691,Smith Inc,Malaysia,6043,Public,78384266,Education
12692,"Lindsey, Anderson and Fisher",Malaysia,9085,Public,11815528,Information Technology
12693,Buchanan-Davies,Singapore,7295,Public,,Education
12694,Allen-Michael,Singapore,79,Private,675997,Oil & Gas
12695,Edwards-Reynolds,Singapore,7658,Public,98714133,Oil & Gas
12696,Freeman-Noble,Thailand,495,Private,886530,Education
12697,"Carter, Carey and Jacobs",Hongkong,84,Private,204817,Oil & Gas
12698,Ruiz LLC,Thailand,,Private,452240,Oil & Gas
12699,"Adams, Dean and Horn",Singapore,,Public,349058,Education
12700,Brooks Inc,Hongkong,6815,Public,44250854,Information Technology
12701,Ashley-Garcia,Singapore,434,Private,342297,Information Technology
12702,Carlson Ltd,Malaysia,122,Private,764982,Information Technology
12703,Moody-Garcia,Singapore,,Private,782802,Oil & Gas
12704,"Oneill, Mills and Navarro",Malaysia,,Public,733898,Healthcare
12705,Barnett-Smith,Malaysia,330,Private,253775,Oil & Gas
12706,"Thornton, Greer and Butler",Hongkong,437,Private,378202,Healthcare
12707,Molina Group,Singapore,,Public,982587,Information Technology
12708,Knight-Holder,Malaysia,,Public,444415,Healthcare
12709,"Gallegos, Myers and Walker",Thailand,1695,Private,,Oil & Gas
12710,Moran-Rodriguez,Singapore,,Private,375854,Financials
12711,Cortez Inc,Singapore,4337,Public,82797589,Healthcare
12712,Alvarado Inc,Hongkong,,Private,528517,Education
12713,Rodriguez PLC,Malaysia,,Private,740921,Information Technology
12714,Bullock-Drake,Hongkong,9102,Private,,Healthcare
12715,Yang Inc,Singapore,7737,Public,35254083,Construction
12716,Johnson and Sons,Singapore,1777,Public,22554838,Financials
12717,"Larson, Schroeder and Lucas",Thailand,131,Private,396884,Education
12718,Allen LLC,Malaysia,,Public,639821,Education
12719,Price-Johnson,Thailand,9461,Public,,Oil & Gas
12720,Bowen LLC,Singapore,1385,Private,,Education
12721,Robinson PLC,Singapore,2544,Public,88743152,Oil & Gas
12722,"Graham, Cameron and Vazquez",Thailand,3943,Private,,Education
12723,Barker LLC,Malaysia,,Private,488761,Healthcare
12724,Stevens-Sanchez,Hongkong,7106,Public,91938610,Financials
12725,Ballard-Miller,Singapore,,Public,552302,Education
12726,Conway LLC,Singapore,392,Private,616722,Financials
12727,Evans and Sons,Singapore,9229,Private,,Information Technology
12728,West-Alexander,Thailand,,Public,488426,Education
12729,"Hester, Johnson and Park",Hongkong,1550,Public,36662255,Financials
12730,Baker-Tate,Singapore,1959,Public,18497644,Healthcare
12731,Hamilton Ltd,Hongkong,7599,Public,95148822,Education
12732,"Williams, Myers and Hayes",Hongkong,,Public,801355,Healthcare
12733,"Santos, Johnson and Hoffman",Malaysia,3693,Private,,Education
12734,Hopkins PLC,Hongkong,9369,Public,49142638,Construction
12735,Page Inc,Singapore,5481,Private,,Healthcare
12736,Murphy PLC,Hongkong,4832,Private,,Financials
12737,Wright-George,Thailand,147,Private,496073,Oil & Gas
12738,Rose-Roberts,Singapore,9453,Public,35120847,Information Technology
12739,"Reyes, Brown and Esparza",Thailand,,Private,593982,Financials
12740,"Olson, Miller and Huang",Malaysia,,Public,756243,Financials
12741,Woods and Sons,Malaysia,,Public,849630,Education
12742,"Matthews, Jones and Baldwin",Singapore,5907,Private,,Construction
12743,Vaughan Inc,Thailand,1136,Public,,Information Technology
12744,"Stephens, Miller and Jackson",Thailand,,Public,831197,Healthcare
12745,Carter Inc,Thailand,,Private,791304,Information Technology
12746,"Torres, Duarte and Huang",Hongkong,4905,Public,75774718,Construction
12747,"Hood, Page and Davis",Hongkong,5014,Public,,Healthcare
12748,King Group,Hongkong,273,Private,452413,Healthcare
12749,Buchanan-Bryan,Singapore,9054,Private,,Financials
12750,Nixon-Petersen,Hongkong,126,Private,577152,Construction
12751,Acosta Ltd,Singapore,291,Private,359638,Construction
12752,"Page, Rogers and Patterson",Malaysia,8566,Public,35441016,Financials
12753,Moore PLC,Malaysia,2923,Public,14219500,Oil & Gas
12754,Stewart-Burke,Thailand,,Private,237216,Healthcare
12755,Dougherty Group,Malaysia,196,Private,729298,Financials
12756,"Michael, Perry and Baker",Thailand,6512,Private,,Financials
12757,Kim LLC,Singapore,,Private,196782,Financials
12758,Shepard-Flynn,Thailand,,Private,524541,Financials
12759,"Dalton, Kim and Owens",Singapore,481,Private,874288,Information Technology
12760,Pitts and Sons,Singapore,1342,Public,,Education
12761,Parker-Estrada,Hongkong,9413,Public,58183221,Oil & Gas
12762,"Garcia, Cox and Zimmerman",Thailand,,Public,528038,Construction
12763,Turner PLC,Malaysia,7360,Public,45667822,Financials
12764,"Thompson, Copeland and Lewis",Malaysia,8897,Public,18437571,Healthcare
12765,"Baker, Rogers and Fisher",Thailand,3413,Public,22626797,Information Technology
12766,"Gilbert, Hicks and Serrano",Malaysia,,Private,173416,Oil & Gas
12767,Jones-Larson,Thailand,,Public,838117,Construction
12768,Perez-Reed,Malaysia,,Private,466540,Information Technology
12769,Ruiz-Calhoun,Thailand,,Private,433357,Construction
12770,Beck-Rios,Singapore,,Private,646317,Construction
12771,Buchanan Inc,Hongkong,4546,Private,,Information Technology
12772,Lee PLC,Singapore,6270,Private,,Healthcare
12773,Jackson Ltd,Singapore,6659,Public,94954076,Oil & Gas
12774,Rogers PLC,Malaysia,,Public,664374,Oil & Gas
12775,"Hudson, Smith and Smith",Malaysia,8553,Public,46454701,Information Technology
12776,Williams and Sons,Malaysia,9700,Private,,Information Technology
12777,"West, White and Wilson",Singapore,3937,Public,75625610,Oil & Gas
12778,"Mcdonald, Wright and Holmes",Singapore,270,Private,420022,Construction
12779,"Saunders, Hill and Holmes",Malaysia,182,Private,116181,Financials
12780,Williams-Rice,Thailand,8524,Public,,Information Technology
12781,"Coleman, Rice and Williams",Thailand,4160,Private,,Healthcare
12782,Burton LLC,Malaysia,,Public,570729,Education
12783,Johnson Inc,Thailand,7214,Private,,Healthcare
12784,Rollins-Lee,Singapore,5547,Private,,Information Technology
12785,Mccarthy PLC,Thailand,,Public,625695,Education
12786,"Murphy, Taylor and Morris",Hongkong,,Public,941614,Healthcare
12787,Gonzalez-Oliver,Malaysia,,Private,771824,Construction
12788,Miller-Brown,Malaysia,6489,Private,,Information Technology
12789,Hansen LLC,Singapore,4207,Public,,Construction
12790,"Lopez, Arias and Johnson",Singapore,6900,Public,50677034,Information Technology
12791,"Mccormick, Young and Wagner",Hongkong,,Private,294503,Healthcare
12792,White Ltd,Malaysia,416,Private,989296,Healthcare
12793,Sims and Sons,Singapore,225,Private,873440,Oil & Gas
12794,"Salazar, Frye and Mitchell",Singapore,6968,Public,43044110,Financials
12795,Williams-Nelson,Malaysia,3200,Public,,Information Technology
12796,"Williams, Johnson and Garcia",Malaysia,5187,Public,41500516,Healthcare
12797,"Nielsen, Martin and Henderson",Hongkong,2786,Public,68670294,Financials
12798,Kerr Group,Singapore,,Public,162830,Oil & Gas
12799,"Garcia, Sharp and Murphy",Thailand,5093,Private,,Information Technology
12800,Gregory PLC,Singapore,,Private,176354,Healthcare
12801,Bailey-Patterson,Thailand,436,Private,332423,Education
12802,"Greer, Perez and Hale",Hongkong,375,Private,246123,Financials
12803,Salazar-Carpenter,Malaysia,498,Private,573541,Financials
12804,Martinez Inc,Malaysia,8829,Public,54532453,Construction
12805,Newton Group,Thailand,,Public,738515,Construction
12806,Williams Ltd,Malaysia,8252,Public,,Oil & Gas
12807,Barnes Ltd,Hongkong,3680,Private,,Healthcare
12808,Jacobs Group,Hongkong,4928,Public,66154555,Information Technology
12809,Wright-Alexander,Hongkong,,Public,887028,Healthcare
12810,Thompson and Sons,Hongkong,,Public,442465,Information Technology
12811,Lewis-Gonzalez,Malaysia,276,Private,751721,Education
12812,"Munoz, Clark and Rivas",Singapore,3152,Private,,Financials
12813,"Bailey, White and Torres",Thailand,280,Private,944707,Education
12814,Thomas-Johnson,Hongkong,959,Public,,Healthcare
12815,"Morse, Hayden and Davis",Singapore,2995,Public,95541256,Education
12816,Nelson Inc,Malaysia,447,Private,505372,Oil & Gas
12817,Gonzalez Group,Singapore,152,Private,501383,Oil & Gas
12818,"Anderson, Goodwin and Tyler",Singapore,159,Private,982957,Information Technology
12819,"Pineda, Cole and Terry",Thailand,,Public,621571,Healthcare
12820,Edwards PLC,Singapore,,Public,946818,Healthcare
12821,Lindsey-Butler,Singapore,,Public,796031,Financials
12822,Meyer PLC,Singapore,449,Private,665653,Information Technology
12823,"Miller, Russo and Eaton",Thailand,7922,Public,,Information Technology
12824,"Williams, Stewart and Moore",Thailand,5681,Public,70492049,Construction
12825,"Compton, Johnson and Hubbard",Thailand,313,Private,192071,Healthcare
12826,"Perez, Young and Freeman",Hongkong,475,Private,306272,Construction
12827,Robinson Group,Thailand,306,Private,351450,Information Technology
12828,Perry-Brown,Hongkong,9203,Public,10415671,Healthcare
12829,"White, Richardson and Harmon",Hongkong,835,Private,,Construction
12830,Adams-Christian,Thailand,2357,Public,76492509,Construction
12831,Bentley-Campbell,Malaysia,6178,Private,,Construction
12832,"May, Mueller and Davis",Malaysia,4044,Private,,Construction
12833,Anthony-Doyle,Malaysia,500,Private,708171,Oil & Gas
12834,Weaver-Morgan,Malaysia,8417,Private,,Oil & Gas
12835,Robbins Ltd,Malaysia,336,Private,103728,Healthcare
12836,Garrett Inc,Malaysia,96,Private,602923,Information Technology
12837,Lane Group,Thailand,161,Private,,Financials
12838,"Cummings, Eaton and Waller",Singapore,9474,Public,91278786,Information Technology
12839,Washington Inc,Malaysia,7778,Public,26169992,Financials
12840,Griffin and Sons,Singapore,205,Private,575475,Education
12841,"Evans, Kelly and Parker",Thailand,5470,Private,,Information Technology
12842,"Lopez, Marsh and Pruitt",Malaysia,432,Private,514980,Oil & Gas
12843,Stevens-Alvarado,Thailand,,Public,119607,Healthcare
12844,"Yu, Fischer and Weaver",Singapore,436,Private,935273,Construction
12845,Alvarado LLC,Thailand,,Public,594149,Construction
12846,Chavez LLC,Thailand,110,Private,839669,Healthcare
12847,"Gilbert, Guerra and Oneill",Singapore,75,Private,820578,Financials
12848,Wright-Webb,Thailand,261,Private,851264,Education
12849,"Mejia, Kelley and Baker",Thailand,3174,Public,27243232,Construction
12850,Yu-Walter,Thailand,5344,Public,85259281,Information Technology
12851,Johnston Ltd,Hongkong,6830,Public,37791729,Information Technology
12852,Wagner-Lewis,Hongkong,5228,Public,83267835,Construction
12853,"Spencer, Franklin and Marshall",Thailand,,Private,952359,Construction
12854,Martinez PLC,Malaysia,492,Private,821259,Financials
12855,"Thompson, Soto and Murphy",Hongkong,,Public,308515,Education
12856,"Jones, Gross and Mccoy",Hongkong,,Private,500569,Education
12857,Porter Group,Singapore,441,Private,920326,Construction
12858,Nichols LLC,Malaysia,,Public,345048,Healthcare
12859,Anderson PLC,Thailand,,Private,150501,Education
12860,"Wilkinson, Moreno and Brooks",Thailand,6080,Private,,Healthcare
12861,Cruz-Bauer,Thailand,4656,Public,28191711,Education
12862,Jackson-Henry,Malaysia,,Public,399441,Education
12863,Fox Inc,Singapore,,Public,249307,Oil & Gas
12864,Riley LLC,Thailand,,Private,494929,Construction
12865,"Reid, Jones and Larsen",Thailand,7550,Public,87369305,Construction
12866,"Grimes, Phillips and White",Thailand,,Public,798515,Information Technology
12867,Brown-Ferguson,Malaysia,2484,Public,,Financials
12868,Mcbride Inc,Singapore,,Public,994119,Healthcare
12869,Brock-Lewis,Malaysia,7620,Public,15183222,Information Technology
12870,"Garcia, House and Smith",Hongkong,,Public,419940,Healthcare
12871,"Torres, Foster and Nash",Singapore,159,Private,686171,Construction
12872,Leon-Simpson,Malaysia,,Public,747910,Oil & Gas
12873,"Hunter, Lopez and Morales",Thailand,164,Private,303088,Construction
12874,"Smith, Harris and Flowers",Malaysia,2562,Public,,Healthcare
12875,Ponce-Nelson,Singapore,8360,Public,82679003,Oil & Gas
12876,"Sawyer, Thomas and Rivera",Singapore,8416,Public,50783461,Healthcare
12877,"King, Baird and Banks",Thailand,5870,Private,,Information Technology
12878,Fox PLC,Thailand,,Public,821653,Information Technology
12879,Leonard-Davidson,Thailand,361,Private,787063,Construction
12880,"Williams, Ingram and Howard",Thailand,,Private,897483,Information Technology
12881,Martin-Maldonado,Thailand,9143,Public,79616716,Financials
12882,Sutton-Holt,Thailand,9818,Public,93616965,Healthcare
12883,Wright Group,Malaysia,,Public,711594,Financials
12884,"Moore, Roth and Hanson",Thailand,2264,Public,48603212,Information Technology
12885,"Robinson, Holland and Spencer",Hongkong,451,Private,149457,Construction
12886,Baker-Strong,Malaysia,7938,Public,50288531,Construction
12887,Matthews and Sons,Hongkong,,Private,475354,Information Technology
12888,"Crawford, White and Campbell",Thailand,2754,Public,62132499,Information Technology
12889,Stevenson Group,Malaysia,257,Private,544311,Information Technology
12890,Martinez LLC,Hongkong,,Public,690015,Healthcare
12891,Hopkins-Sanchez,Singapore,,Private,168570,Financials
12892,Collins Ltd,Hongkong,326,Public,,Construction
12893,Bennett-Taylor,Hongkong,3894,Public,69376015,Information Technology
12894,Mays-Fisher,Hongkong,4982,Public,96564146,Information Technology
12895,Larsen PLC,Singapore,3644,Private,,Construction
12896,"Lozano, Daniel and Trevino",Hongkong,,Private,473451,Oil & Gas
12897,Fox-Burton,Hongkong,8200,Public,,Education
12898,"Cunningham, Carroll and Simpson",Hongkong,231,Private,342641,Oil & Gas
12899,Freeman Ltd,Singapore,2752,Public,,Education
12900,Patterson-Smith,Hongkong,5118,Public,,Education
12901,Dickerson-Lopez,Malaysia,,Private,762944,Information Technology
12902,Torres-Ward,Singapore,9458,Public,68778326,Education
12903,"Harding, Wilson and Reid",Hongkong,,Private,981016,Construction
12904,Molina Inc,Thailand,426,Private,987527,Oil & Gas
12905,King and Sons,Malaysia,6585,Private,,Oil & Gas
12906,Meyer-Flores,Hongkong,2065,Public,81178147,Construction
12907,Tran-Watkins,Hongkong,,Public,378950,Healthcare
12908,Becker and Sons,Malaysia,9329,Public,10816362,Information Technology
12909,Deleon-Sexton,Malaysia,,Public,719517,Financials
12910,"Alexander, Jones and Walker",Thailand,,Public,173827,Oil & Gas
12911,Williams and Sons,Malaysia,2268,Private,,Education
12912,Mcpherson LLC,Thailand,2290,Public,,Information Technology
12913,Bowers-Chase,Malaysia,,Private,784419,Education
12914,Rodriguez-May,Singapore,5004,Public,,Information Technology
12915,"Pratt, Obrien and Schneider",Singapore,,Public,214150,Information Technology
12916,"Nunez, Baker and Jones",Thailand,,Private,873277,Construction
12917,"Martinez, Gonzalez and Jones",Thailand,4156,Public,51430375,Information Technology
12918,"Collins, Acosta and Boyd",Hongkong,3256,Public,51557863,Oil & Gas
12919,"Smith, Garrett and Guerrero",Thailand,6732,Public,,Oil & Gas
12920,Jones-Moore,Malaysia,,Public,187791,Healthcare
12921,Robinson-Smith,Singapore,3392,Public,,Education
12922,Terry-Taylor,Thailand,,Private,620536,Information Technology
12923,Lang Inc,Malaysia,,Public,248817,Oil & Gas
12924,"Palmer, Alvarez and Smith",Singapore,3384,Public,11536348,Construction
12925,Fitzpatrick-Dickerson,Hongkong,4986,Public,60379233,Healthcare
12926,Carter Inc,Singapore,,Public,133210,Education
12927,"Monroe, Fuentes and Harding",Hongkong,126,Private,928540,Oil & Gas
12928,Smith Inc,Singapore,136,Private,952415,Financials
12929,Holland Inc,Malaysia,,Private,992226,Financials
12930,Flowers PLC,Singapore,309,Private,553485,Education
12931,"Rosario, Anderson and Nguyen",Malaysia,3523,Public,,Financials
12932,Graham-Estrada,Singapore,2838,Public,55847354,Education
12933,Flores LLC,Hongkong,53,Private,248380,Healthcare
12934,"Costa, Rivera and Wells",Thailand,,Private,758044,Education
12935,Lynn Inc,Thailand,1825,Private,,Information Technology
12936,"Martinez, Vance and Thompson",Malaysia,355,Private,857569,Construction
12937,Thompson Inc,Singapore,,Public,401561,Information Technology
12938,Taylor-Morales,Hongkong,6144,Public,80606734,Education
12939,Krause-Johnson,Hongkong,497,Private,350183,Information Technology
12940,Richards-Tran,Hongkong,5123,Public,48940592,Healthcare
12941,"Lewis, Edwards and Smith",Singapore,50,Private,537465,Education
12942,"Douglas, Thompson and Shelton",Singapore,4116,Public,,Financials
12943,Macias-Andrews,Hongkong,6861,Private,,Healthcare
12944,Pena-Cochran,Thailand,197,Private,527926,Construction
12945,"Marsh, Malone and Melendez",Hongkong,7285,Public,,Construction
12946,Johnson LLC,Singapore,2619,Private,,Construction
12947,"Turner, Nguyen and Gonzalez",Thailand,2225,Public,,Financials
12948,Page and Sons,Thailand,8475,Public,54030159,Construction
12949,"Knox, Turner and Bell",Thailand,,Public,669153,Education
12950,"King, Cortez and Spencer",Singapore,377,Private,317083,Construction
12951,"Taylor, Cross and Weaver",Malaysia,7981,Private,,Information Technology
12952,Morgan Ltd,Thailand,427,Private,818240,Information Technology
12953,Gonzalez Inc,Hongkong,2611,Public,,Education
12954,"Stewart, Thompson and Hernandez",Singapore,7499,Public,56544964,Education
12955,Bradford LLC,Singapore,3341,Public,80004624,Oil & Gas
12956,Jackson and Sons,Hongkong,1846,Public,,Information Technology
12957,Smith-Barrera,Thailand,8476,Public,45901006,Financials
12958,Conrad Group,Thailand,6325,Public,82148573,Education
12959,Hess-Sharp,Thailand,,Private,483317,Healthcare
12960,"Carrillo, Hamilton and Morales",Thailand,6718,Public,82745301,Construction
12961,"Foster, Webster and Cunningham",Malaysia,3435,Private,,Construction
12962,Watson Group,Hongkong,8371,Public,63182096,Financials
12963,"Cruz, Evans and Boyer",Hongkong,401,Private,455550,Construction
12964,Glass-Clark,Malaysia,263,Private,881769,Healthcare
12965,Greer Ltd,Singapore,1348,Public,58453326,Education
12966,"Lopez, Hartman and Fisher",Malaysia,103,Private,818082,Construction
12967,Robinson PLC,Singapore,130,Private,695988,Financials
12968,Norris-Holt,Hongkong,3746,Public,95439287,Financials
12969,Bryant Group,Malaysia,,Public,916734,Healthcare
12970,Edwards Group,Thailand,203,Private,100712,Financials
12971,"Richardson, Anderson and Wallace",Singapore,,Private,911705,Healthcare
12972,Jackson-Lopez,Singapore,9944,Public,,Oil & Gas
12973,Patrick-Harper,Singapore,8927,Public,48877390,Education
12974,"Solis, Thomas and Hill",Hongkong,5772,Private,,Oil & Gas
12975,Garcia PLC,Hongkong,4757,Private,,Financials
12976,Roy Group,Singapore,4848,Public,,Information Technology
12977,"Espinoza, Ritter and Oliver",Malaysia,90,Private,821369,Financials
12978,Davies-Parks,Thailand,3737,Public,60329063,Education
12979,Jordan Group,Thailand,4229,Public,39163678,Education
12980,Mccann PLC,Malaysia,209,Private,278128,Education
12981,"Randolph, Barry and Romero",Hongkong,,Private,329171,Financials
12982,Palmer-Wong,Thailand,5063,Public,63530845,Healthcare
12983,"Heath, Mueller and Schmidt",Singapore,9298,Public,40934280,Information Technology
12984,"Gilmore, Wilkinson and Williams",Malaysia,,Public,266941,Construction
12985,Valdez Inc,Malaysia,352,Private,380508,Information Technology
12986,Edwards Inc,Thailand,3669,Public,80281991,Education
12987,"Curry, White and Cooper",Malaysia,8733,Public,11769856,Education
12988,"Small, King and Dean",Thailand,7462,Public,,Education
12989,Rodriguez-Mullins,Thailand,1986,Private,,Healthcare
12990,Cortez-Cline,Singapore,4175,Public,82237841,Oil & Gas
12991,"Waters, Schultz and Gomez",Hongkong,9079,Public,,Information Technology
12992,"Durham, Fox and Meza",Malaysia,4310,Public,25151419,Construction
12993,Pugh and Sons,Singapore,1265,Public,33846872,Education
12994,"Lester, Ruiz and Henry",Thailand,,Public,471017,Healthcare
12995,"Chase, Beard and Swanson",Malaysia,,Private,918672,Information Technology
12996,Owens-Taylor,Thailand,252,Private,135096,Construction
12997,Burke Group,Singapore,2837,Public,,Construction
12998,"Gibson, Alvarez and Tucker",Hongkong,2146,Public,28096949,Financials
12999,"Hall, Lewis and Baker",Hongkong,,Public,642920,Information Technology
13000,Camacho PLC,Thailand,393,Private,166487,Construction
13001,"Spears, Hunter and Kim",Thailand,2616,Public,28952500,Education
13002,"Fischer, Dunn and Thornton",Thailand,,Public,876072,Oil & Gas
13003,Kelley-Morales,Thailand,1028,Public,48443225,Information Technology
13004,Murphy LLC,Malaysia,1141,Public,83451645,Education
13005,"Rowe, Miller and Smith",Thailand,6621,Public,56289101,Oil & Gas
13006,Holloway-Hill,Singapore,238,Private,517770,Education
13007,Davis-Jones,Thailand,401,Private,416542,Financials
13008,"Wagner, Kennedy and Smith",Singapore,5105,Public,,Construction
13009,Robinson Group,Hongkong,423,Private,,Oil & Gas
13010,Holland Ltd,Singapore,3135,Private,,Financials
13011,Wheeler-Harris,Hongkong,151,Private,286440,Information Technology
13012,Sanders-Carlson,Singapore,7240,Public,89365947,Education
13013,Hardin-Meyers,Hongkong,7047,Public,,Oil & Gas
13014,Robertson Group,Malaysia,4513,Private,,Healthcare
13015,"Terrell, Wilkins and Pittman",Hongkong,,Public,578850,Oil & Gas
13016,Mills-Walsh,Hongkong,3632,Private,,Construction
13017,Jackson-Kim,Hongkong,441,Private,681266,Healthcare
13018,"Lopez, Rogers and Oliver",Singapore,228,Private,990050,Financials
13019,Castro-Huynh,Thailand,7040,Public,30389428,Financials
13020,Wilson PLC,Singapore,178,Public,,Oil & Gas
13021,Reed-Jensen,Hongkong,258,Private,145972,Financials
13022,"Foster, Ward and Hunter",Singapore,433,Private,537090,Oil & Gas
13023,Vasquez Group,Singapore,409,Private,310627,Education
13024,Davidson-Murphy,Thailand,,Private,654883,Financials
13025,Wade and Sons,Thailand,55,Private,665903,Information Technology
13026,Delgado LLC,Hongkong,7565,Public,76257434,Construction
13027,Jackson Group,Singapore,9110,Public,,Financials
13028,Baldwin Ltd,Malaysia,7962,Private,,Information Technology
13029,Williams-Kramer,Hongkong,7459,Public,,Oil & Gas
13030,Mullen-Davis,Singapore,,Private,201228,Financials
13031,Peterson LLC,Singapore,,Private,506022,Construction
13032,"Santos, Meyer and Vasquez",Thailand,9061,Public,86724778,Information Technology
13033,Pena-Rodgers,Singapore,5312,Public,28977378,Healthcare
13034,Williams LLC,Hongkong,450,Private,868909,Construction
13035,Lewis-Mendoza,Singapore,,Public,294269,Financials
13036,Wheeler Inc,Malaysia,5682,Public,,Construction
13037,"Steele, Williams and Warren",Thailand,,Public,201447,Construction
13038,"Watson, Sandoval and Berry",Malaysia,5119,Public,,Information Technology
13039,George Inc,Singapore,1421,Public,79855187,Financials
13040,Hernandez Ltd,Hongkong,3089,Public,59871081,Oil & Gas
13041,Knox-Schmitt,Hongkong,147,Private,462513,Education
13042,Payne-Smith,Singapore,2575,Private,,Education
13043,Wiggins Inc,Malaysia,387,Private,358921,Construction
13044,Ramos-Aguirre,Thailand,1765,Private,,Healthcare
13045,Mosley and Sons,Singapore,,Public,972961,Healthcare
13046,Reeves and Sons,Singapore,263,Private,627232,Information Technology
13047,Jones Inc,Thailand,,Private,838677,Healthcare
13048,Durham-Mccormick,Singapore,9093,Public,65606868,Construction
13049,Fernandez and Sons,Singapore,365,Private,984236,Construction
13050,Sloan-Beck,Malaysia,4891,Private,,Construction
13051,"Peterson, Cook and Marshall",Thailand,804,Private,,Healthcare
13052,Wright-Ayala,Malaysia,778,Public,,Financials
13053,Cole Ltd,Hongkong,174,Private,175554,Oil & Gas
13054,"Moss, Delgado and Gates",Hongkong,,Private,776040,Construction
13055,Wolf LLC,Malaysia,7481,Public,30654779,Construction
13056,Oneill-Hill,Thailand,,Public,486046,Construction
13057,Luna-Williams,Hongkong,6451,Public,,Information Technology
